case_type,y_true,y_pred,score,subject,body_preview,triage_relevance,message_type,requires_context,notes
TP,1,1,0.9909317294093792,Commissioner.COM E-Reports for Get Bad with Yourself 12/29/01,"<!doctype html public ""-//w3c//dtd html 4.0 transitional//en""><html><HEAD> <!--   You are receiving these e-reports because you have signed up for CBS SportsLine.com Fantasy Football.  The default format for these reports is HTML, however if you are reading this text your mail reader is not displaying it as HTML.  To change to text mode, or to customize, reschedule, or turn off these reports please to to the URL below:  http://football291.fantasy.sportsline.com/mp/options-ereports?league=getbad&",,,,
TP,1,1,0.9851949711636762,Continue Enjoying IIJournals -- Renew Today!,"Shirley,  I probably asked you about it already. I want to renew.  Vince  ---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 04/24/2001= =20 05:39 PM ---------------------------   Institutional Investor Journals <webinfo@iijournals.com> on 04/19/2001=20 11:03:59 AM To: ""vkamins@enron.com"" <vkamins@enron.com> cc: =20 Subject: Continue Enjoying IIJournals -- Renew Today!   Dear Vince Kaminski,  We hope you are enjoying the benefits of receiving market-leading, rigorous= =20 and curren",,,,
TP,1,1,0.9857987808990646,"(ClearStation) : Portfolio Update, Wed Nov 21 2001","  =09  Markets =09 [IMAGE] =09DJ30 =09 =099,834.67=09 =09-66.70=09 =09-0.67%=   =09 [IMAGE] =09NASDAQ =09 =091,875.05=09 =09-5.45  =09 =09-0.29%=09 [IMAG= E] =09S&P  500 =09 =091,137.03=09 =09-5.63=09 =09-0.49%=09 [IMAGE] =09US ma= rkets closed =09=09=09=09=09 =09=09=09=09=09=09=09=09=09=09=09=09=09=09=09=09=09=09=09=09=09=09=09=09=09= =09=09=09=09=09=09[IMAGE]=09    [IMAGE] [IMAGE] [IMAGE] [IMAGE]     [IMAGE]    Quote & 3-Point ViewProfile=  & FundamentalsKey RatiosAnalyst InfoEarnings Estimate",,,,
TP,1,1,0.996688671042196,BusinessWeek Online Insider Dec. 8,"Tough Times in Tech...Best Products...A Tough Road for Bush?  HIGHLIGHTS FROM THE DECEMBER 18, 2000, ISSUE OF BUSINESS WEEK*  ********************************ADVERTISEMENT******************************* Are you having problems getting your E-Business Initiative up and running?  Do you have Enterprise Applications like Siebel, Clarify or SAP that need to be integrated with your documents, presentations and databases and presented easily through a personalized browser interface?  What you need is ",,,,
TP,1,1,0.9606393649782544,Innova Pure Water Dismisses Lawsuit Against Brita,"INNOVA PURE WATER DISMISSES LAWSUIT AGAINST BRITA  OAKLAND, Calif., March 9, 2001 -- The Brita Products Company today announced  that it has reached a settlement agreement with Innova Pure Water, Inc., and  that Innova has dismissed its patent infringement lawsuit against Brita in  which it claimed the water filter in the Brita Fill & Go(R) sports bottle  infringed on one of Innova's patents. Under the terms of the settlement,  Brita may continue to market the Brita Fill & Go(R) sports bottle un",,,,
TP,1,1,0.991969564267018,Commissioner.COM E-Reports for Feeley's FFL 12/30/01, [IMAGE] =09  Attention Fantasy Members! It's time to get an early start on that New Yea= r's resolution. MVP.com is offering FREE Standard Shipping in our Fitness S= hop until 1/17/02. Click here to see what we have to offer.   Save $.05 a g= allon on the gas that keeps your car's engine clean. Click here  to apply o= nline.  Win  a VIP Vegas Vacation! OR Win  $600 CASH!   Brought to you by  =  Sponsorship Bar You are receiving these e-reports because you have signed = up for CBS SportsLine.com,,,,
TP,1,1,0.9934578830576024,Great buys on PC accessories!,"     ==============================================      Buy 2 Monitors, Get Free Shipping*      http://enews.buy.com/cgi-bin5/flo?y=eEtM0D4S5I0Blu0BASu0Ae      ==============================================  ___________________________________________________________                        <<<COMPUTERS>>> ___________________________________________________________       Samsung Combo Drive CDRW/DVD-ROM 8x/4x/32x/8x      buy.com price: NEW LOW PRICE! List Price: $219.00      Offers 8X CD-Recordi",,,,
TP,1,1,0.8569620585040918,Business Week Online Insider June 1,"=20 Register/Subscribe Home =09 =09 =09Get the Inside Story on Software News & Views. =09Stay up to speed on the software you need for your e-business initiative= s. =09This independent weekly delivers straight-talk on enterprise software =09developments, industry implementations, and behind-the-scenes articles =09on how applications work in companies' operations. Real news you can =09use.  Sponsored by IBM. http://www.ibm.com/websphere/businessweek2=20 =09    Search  THE SITE BW Magazine Daily ",,,,
TP,1,1,0.9960774907870144,Fwd: Updates: Mobile Edition and E-commerce survey,"---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 03/09/2000  10:12 PM ---------------------------   VKaminski@aol.com on 03/01/2000 07:37:32 PM To: vkamins@enron.com cc:   Subject: Fwd: Updates: Mobile Edition and E-commerce survey     Content-Transfer-Encoding: 7bit Return-Path: <anchovy+economist-survey_feb00_text-1@anchovy.lodo.exactis.com> Received: from  rly-zc04.mx.aol.com (rly-zc04.mail.aol.com [172.31.33.4]) by  air-zc05.mail.aol.com (v69.17) with ESMTP; Wed, 01 Mar 2000 0",,,,
TP,1,1,0.9730143984454565,A Holiday Head Start from Barnes & Noble.com!,"Dear Barnes & Noble.com Customer:  We are excited to present you with a great reason to get your holiday shopping done early.  You can now save $10 off any purchase of $40 or more, but hurry because this special offer expires on Friday November 24th.  To start saving now, click here: http://email.bn.com/cgi-bin6/flo?y=3DeDCr0BMWHz0js0C2Sm  We've also added two innovative new features to our site that will make shopping at Barnes & Noble.com easier and more convenient than ever!  THE VISUAL SHOPP",,,,
